fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.8,0.69,0,5.6,0.124,High,58,Very High,Normal,0.72,10.2,Decent
6.8,0.69,0,5.6,0.124,High,58,Very High,Normal,0.72,10.2,Decent
8.8,0.6,0.29,2.2,0.098,Low,15,Very High,Normal,0.49,9.1,Decent
8.8,0.6,0.29,2.2,0.098,Low,15,Very High,Normal,0.49,9.1,Decent
8.7,0.54,0.26,2.5,0.097,Low,31,High,Normal,0.6,9.3,Fine
7.6,0.685,0.23,2.3,0.111,High,84,Medium,Normal,0.61,9.3,Decent
8.7,0.54,0.26,2.5,0.097,Low,31,High,Normal,0.6,9.3,Fine
10.4,0.28,0.54,2.7,0.105,Low,19,Very High,Normal,0.63,9.5,Decent
7.6,0.41,0.14,3,0.087,High,43,Medium,Normal,0.57,10.5,Fine
10.1,0.935,0.22,3.4,0.105,Medium,86,Very High,Normal,0.64,11.3,Fair
7.9,0.35,0.21,1.9,0.073,Unknown,102,Medium,Normal,0.58,9.5,Decent
8.7,0.84,0,1.4,0.065,Unknown,33,Low,Normal,0.55,9.7,Decent
9.6,0.88,0.28,2.4,0.086,Unknown,147,Very High,Normal,0.53,9.4,Decent
9.5,0.885,0.27,2.3,0.084,Unknown,145,High,Normal,0.53,9.4,Decent
7.7,0.915,0.12,2.2,0.143,Low,23,Medium,Normal,0.65,10.2,Good
8.9,0.29,0.35,1.9,0.067,Unknown,57,High,Normal,1.36,10.3,Fine
9.9,0.54,0.45,2.3,0.071,High,40,Very High,Normal,0.62,9.4,Decent
9.5,0.59,0.44,2.3,0.071,High,68,Very High,Normal,0.63,9.5,Decent
9.9,0.54,0.45,2.3,0.071,High,40,Very High,Normal,0.62,9.4,Decent
9.5,0.59,0.44,2.3,0.071,High,68,Very High,Normal,0.63,9.5,Decent
9.9,0.54,0.45,2.3,0.071,High,40,Very High,Normal,0.62,9.4,Decent
7.8,0.64,0.1,6,0.115,Low,11,Very High,Normal,0.69,10.1,Good
7.3,0.67,0.05,3.6,0.107,Low,20,High,Normal,0.63,10.1,Decent
8.3,0.845,0.01,2.2,0.07,Low,14,Medium,Normal,0.58,11,Fair
8.7,0.48,0.3,2.8,0.066,Medium,28,Medium,Normal,0.67,11.2,Good
6.7,0.42,0.27,8.6,0.068,Unknown,148,Low,Normal,0.57,11.3,Fine
10.7,0.43,0.39,2.2,0.106,Medium,32,Very High,Very Accidic,0.5,9.6,Decent
9.8,0.88,0.25,2.5,0.104,Unknown,155,Very High,Normal,0.67,11.2,Decent
15.9,0.36,0.65,7.5,0.096,Unknown,71,High,Very Accidic,0.84,14.9,Decent
9.4,0.33,0.59,2.8,0.079,Medium,30,High,Very Accidic,0.54,12,Fine
8.6,0.47,0.47,2.4,0.074,Low,29,Very High,Very Accidic,0.46,9.5,Decent
9.7,0.55,0.17,2.9,0.087,High,53,Very High,Normal,0.61,9.4,Decent
10.7,0.43,0.39,2.2,0.106,Medium,32,Very High,Very Accidic,0.5,9.6,Decent
12,0.5,0.59,1.4,0.073,Unknown,42,Very High,Very Accidic,0.68,10.5,Good
7.2,0.52,0.07,1.4,0.074,Low,20,High,Normal,0.81,9.6,Fine
7.1,0.84,0.02,4.4,0.096,Low,13,High,Normal,0.57,11,Fair
7.2,0.52,0.07,1.4,0.074,Low,20,High,Normal,0.81,9.6,Fine
7.5,0.42,0.31,1.6,0.08,High,42,High,Normal,0.64,9,Decent
7.2,0.57,0.06,1.6,0.076,Medium,27,High,Normal,0.7,9.6,Fine
10.1,0.28,0.46,1.8,0.05,Low,13,High,Very Accidic,0.79,10.2,Fine
12.1,0.4,0.52,2,0.092,High,54,Very High,Very Accidic,0.66,10.2,Decent
9.4,0.59,0.14,2,0.084,Unknown,48,Very High,Normal,0.56,9.7,Decent
8.3,0.49,0.36,1.8,0.222,Low,16,Very High,Normal,0.6,9.5,Fine
11.3,0.34,0.45,2,0.082,Low,15,Very High,Very Accidic,0.66,9.2,Fine
10,0.73,0.43,2.3,0.059,High,31,Medium,Normal,0.57,11,Decent
11.3,0.34,0.45,2,0.082,Low,15,Very High,Very Accidic,0.66,9.2,Fine
6.9,0.4,0.24,2.5,0.083,Unknown,45,Medium,Normal,0.58,10,Decent
8.2,0.73,0.21,1.7,0.074,Low,13,High,Normal,0.52,9.5,Decent
9.8,1.24,0.34,2,0.079,Unknown,151,Very High,Normal,0.53,9.5,Decent
8.2,0.73,0.21,1.7,0.074,Low,13,High,Normal,0.52,9.5,Decent
10.8,0.4,0.41,2.2,0.084,Low,17,Very High,Very Accidic,0.67,9.3,Fine
9.3,0.41,0.39,2.2,0.064,Medium,31,Very High,Normal,0.65,10.2,Decent
10.8,0.4,0.41,2.2,0.084,Low,17,Very High,Very Accidic,0.67,9.3,Fine
8.6,0.8,0.11,2.3,0.084,Medium,31,Very High,Normal,0.48,9.9,Decent
8.3,0.78,0.1,2.6,0.081,Unknown,87,Very High,Normal,0.53,10,Decent
10.8,0.26,0.45,3.3,0.06,High,49,High,Normal,0.54,9.6,Decent
13.3,0.43,0.58,1.9,0.07,High,40,Very High,Very Accidic,0.49,9,Decent
8,0.45,0.23,2.2,0.094,High,29,Medium,Normal,0.49,10.2,Fine
8.5,0.46,0.31,2.25,0.078,Unknown,58,Very High,Normal,0.54,9.8,Decent
8.1,0.78,0.23,2.6,0.059,Low,15,High,Normal,0.56,11.3,Decent
9.8,0.98,0.32,2.3,0.078,Unknown,152,Very High,Normal,0.48,9.4,Decent
8.1,0.78,0.23,2.6,0.059,Low,15,High,Normal,0.56,11.3,Decent
7.1,0.65,0.18,1.8,0.07,Medium,40,High,Normal,0.6,9.1,Decent
9.1,0.64,0.23,3.1,0.095,Medium,38,Very High,Normal,0.59,9.7,Decent
7.7,0.66,0.04,1.6,0.039,Low,9,Medium,Normal,0.47,9.4,Decent
8.1,0.38,0.48,1.8,0.157,Low,17,High,Normal,1.05,9.4,Decent
7.4,1185,0,4.25,0.097,Low,14,Medium,Unknown,0.54,10.7,Fair
9.2,0.92,0.24,2.6,0.087,Medium,93,Very High,Normal,0.54,9.8,Decent
8.6,0.49,0.51,2,0.422,High,62,Very High,Very Accidic,1.17,9,Decent
9,0.48,0.32,2.8,0.084,High,122,Very High,Normal,0.62,9.4,Decent
9,0.47,0.31,2.7,0.084,Unknown,125,Very High,Normal,0.61,9.4,Decent
5.1,0.47,0.02,1.3,0.034,High,44,Low,Unknown,0.62,12.8,Fine
7,0.65,0.02,2.1,0.066,Medium,25,High,Normal,0.67,9.5,Fine
7,0.65,0.02,2.1,0.066,Medium,25,High,Normal,0.67,9.5,Fine
9.4,0.615,0.28,3.2,0.087,High,72,Very High,Normal,0.53,9.7,Decent
11.8,0.38,0.55,2.1,0.071,Low,19,Very High,Very Accidic,0.62,10.8,Fine
10.6,1.02,0.43,2.9,0.076,Unknown,88,Very High,Very Accidic,0.57,10.1,Fine
7,0.65,0.02,2.1,0.066,Medium,25,High,Normal,0.67,9.5,Fine
7,0.64,0.02,2.1,0.067,Medium,23,High,Normal,0.67,9.4,Fine
7.5,0.38,0.48,2.6,0.073,Unknown,84,High,Normal,0.7,9.6,Fair
9.1,0.765,0.04,1.6,0.078,Low,14,Very High,Normal,0.54,9.7,Fair
8.4,1035,0.15,6,0.073,Medium,54,Very High,Normal,0.49,9.9,Decent
7,0.78,0.08,2,0.093,Medium,19,Low,Normal,0.47,10,Decent
7.4,0.49,0.19,3,0.077,High,37,Medium,Normal,0.51,10.5,Decent
7.8,0.545,0.12,2.5,0.068,Medium,35,Medium,Normal,0.61,11.6,Fine
9.7,0.31,0.47,1.6,0.062,Medium,33,Very High,Normal,0.66,10,Fine
10.6,1025,0.43,2.8,0.08,High,84,Very High,Very Accidic,0.57,10.1,Decent
8.9,0.565,0.34,3,0.093,High,112,Very High,Normal,0.61,9.5,Decent
8.7,0.69,0,3.2,0.084,Medium,33,Very High,Normal,0.45,9.4,Decent
8,0.43,0.36,2.3,0.075,Medium,48,High,Normal,0.46,9.4,Decent
9.9,0.74,0.28,2.6,0.078,High,77,Very High,Normal,0.51,9.8,Decent
7.2,0.49,0.18,2.7,0.069,Medium,34,Medium,Normal,0.48,9.2,Fine
8,0.43,0.36,2.3,0.075,Medium,48,High,Normal,0.46,9.4,Decent
7.6,0.46,0.11,2.6,0.079,Medium,49,High,Normal,0.57,10,Decent
8.4,0.56,0.04,2,0.082,Medium,22,High,Normal,0.44,9.6,Decent
7.1,0.66,0,3.9,0.086,High,45,High,Normal,0.54,9.5,Decent
8.4,0.56,0.04,2,0.082,Medium,22,High,Normal,0.44,9.6,Decent
8.9,0.48,0.24,2.85,0.094,Unknown,106,Very High,Very Accidic,0.53,9.2,Decent
7.6,0.42,0.08,2.7,0.084,High,48,High,Normal,0.59,10,Decent
7.1,0.31,0.3,2.2,0.053,Unknown,127,Medium,Very Accidic,1.62,9.5,Decent
7.5,1115,0.1,3.1,0.086,Low,12,Medium,Very Basic,0.6,11.2,Fair
9,0.66,0.17,3,0.077,Low,13,High,Normal,0.55,10.4,Decent
8.1,0.72,0.09,2.8,0.084,High,49,Very High,Normal,0.72,11.1,Fine
6.4,0.57,0.02,1.8,0.067,Low,11,High,Normal,0.68,9.5,Decent
6.4,0.57,0.02,1.8,0.067,Low,11,High,Normal,0.68,9.5,Decent
6.4,0.865,0.03,3.2,0.071,Unknown,58,Low,Very Basic,0.49,12.7,Fine
9.5,0.55,0.66,2.3,0.387,Medium,37,Very High,Normal,0.67,9.6,Decent
8.9,0.875,0.13,3.45,0.088,Low,14,Very High,Normal,0.52,11.5,Decent
7.3,0.835,0.03,2.1,0.092,Medium,19,Medium,Normal,0.47,9.6,Decent
7,0.45,0.34,2.7,0.082,High,72,Very High,Very Basic,0.6,9.5,Decent
7.7,0.56,0.2,2,0.075,Medium,39,Very High,Normal,0.62,9.3,Decent
7.7,0.965,0.1,2.1,0.112,Medium,22,Medium,Normal,0.5,9.5,Decent
7.7,0.965,0.1,2.1,0.112,Medium,22,Medium,Normal,0.5,9.5,Decent
8.2,0.59,0,2.5,0.093,High,58,Very High,Very Basic,0.65,9.3,Fine
9,0.46,0.23,2.8,0.092,Unknown,104,Very High,Very Accidic,0.56,9.2,Decent
9,0.69,0,2.4,0.088,High,38,Very High,Normal,0.6,9.3,Decent
8.3,0.76,0.29,4.2,0.075,Medium,16,Medium,Normal,0.68,11.5,Fine
9.2,0.53,0.24,2.6,0.078,Unknown,139,Very High,Normal,0.57,9.5,Decent
6.5,0.615,0,1.9,0.065,Medium,18,High,Normal,0.65,9.2,Decent
11.6,0.41,0.58,2.8,0.096,Unknown,101,Very High,Normal,0.53,10,Decent
11.1,0.39,0.54,2.7,0.095,High,101,Very High,Normal,0.51,9.5,Decent
7.3,0.51,0.18,2.1,0.07,Medium,28,High,Very Basic,0.73,9.5,Fine
8.2,0.34,0.38,2.5,0.08,Medium,57,High,Normal,0.47,9,Fine
8.6,0.33,0.4,2.6,0.083,High,68,High,Normal,0.48,9.4,Decent
7.2,0.5,0.18,2.1,0.071,Medium,31,High,Very Basic,0.72,9.6,Fine
7.3,0.51,0.18,2.1,0.07,Medium,28,High,Very Basic,0.73,9.5,Fine
8.3,0.65,0.1,2.9,0.089,High,40,Very High,Normal,0.55,9.5,Decent
8.3,0.65,0.1,2.9,0.089,High,40,Very High,Normal,0.55,9.5,Decent
7.6,0.54,0.13,2.5,0.097,Unknown,66,Very High,Normal,0.61,9.4,Decent
8.3,0.65,0.1,2.9,0.089,High,40,Very High,Normal,0.55,9.5,Decent
7.8,0.48,0.68,1.7,0.415,Medium,32,Medium,Very Accidic,1.06,9.1,Fine
7.8,0.91,0.07,1.9,0.058,Unknown,47,Low,Very Basic,0.43,10.7,Fine
6.3,0.98,0.01,2,0.057,High,33,Low,Very Basic,0.46,11.2,Fine
8.1,0.87,0,2.2,0.084,Medium,31,Medium,Normal,0.5,9.8,Decent
8.1,0.87,0,2.2,0.084,Medium,31,Medium,Normal,0.5,9.8,Decent
8.8,0.42,0.21,2.5,0.092,Unknown,88,Very High,Normal,0.52,9.2,Decent
9,0.58,0.25,2.8,0.075,Medium,104,High,Normal,0.57,9.7,Decent
9.3,0.655,0.26,2,0.096,Low,35,High,Normal,0.42,9.6,Decent
8.8,0.7,0,1.7,0.069,Medium,19,High,Normal,0.53,10,Fine
9.3,0.655,0.26,2,0.096,Low,35,High,Normal,0.42,9.6,Decent
9.1,0.68,0.11,2.8,0.093,Medium,44,Very High,Normal,0.55,9.5,Fine
9.2,0.67,0.1,3,0.091,Medium,48,Very High,Normal,0.54,9.5,Fine
8.8,0.59,0.18,2.9,0.089,Medium,74,High,Normal,0.54,9.4,Decent
7.5,0.6,0.32,2.7,0.103,Medium,98,Very High,Normal,0.62,9.5,Decent
7.1,0.59,0.02,2.3,0.082,Unknown,94,High,Very Basic,0.53,9.7,Fine
7.9,0.72,0.01,1.9,0.076,Low,32,Medium,Normal,0.54,9.6,Decent
7.1,0.59,0.02,2.3,0.082,Unknown,94,High,Very Basic,0.53,9.7,Fine
9.4,0.685,0.26,2.4,0.082,Unknown,143,High,Normal,0.55,9.4,Decent
9.5,0.57,0.27,2.3,0.082,Unknown,144,High,Normal,0.55,9.4,Decent
7.9,0.4,0.29,1.8,0.157,Low,44,High,Normal,0.92,9.5,Fine
7.9,0.4,0.3,1.8,0.157,Low,45,High,Normal,0.91,9.5,Fine
7.2,1,0,3,0.102,Low,16,Medium,Normal,0.46,10,Decent
6.9,0.765,0.18,2.4,0.243,Unknown,48,Medium,Normal,0.6,10.3,Fine
6.9,0.635,0.17,2.4,0.241,Low,18,Medium,Normal,0.59,10.3,Fine
8.3,0.43,0.3,3.4,0.079,Low,34,Very High,Normal,0.61,10.5,Decent
7.1,0.52,0.03,2.6,0.076,High,92,High,Very Basic,0.6,9.8,Decent
7,0.57,0,2,0.19,Medium,45,High,Normal,0.6,9.4,Fine
6.5,0.46,0.14,2.4,0.114,Medium,37,High,Unknown,0.65,9.8,Decent
9,0.82,0.05,2.4,0.081,Unknown,96,Very High,Normal,0.53,10,Decent
6.5,0.46,0.14,2.4,0.114,Medium,37,High,Unknown,0.65,9.8,Decent
7.1,0.59,0.01,2.5,0.077,High,85,High,Very Basic,0.59,9.8,Decent
9.9,0.35,0.41,2.3,0.083,Medium,61,Very High,Normal,0.5,9.5,Decent
9.9,0.35,0.41,2.3,0.083,Medium,61,Very High,Normal,0.5,9.5,Decent
10,0.56,0.24,2.2,0.079,High,58,Very High,Normal,0.56,10.1,Fine
10,0.56,0.24,2.2,0.079,High,58,Very High,Normal,0.56,10.1,Fine
8.6,0.63,0.17,2.9,0.099,High,119,Very High,Very Accidic,0.52,9.3,Decent
7.4,0.37,0.43,2.6,0.082,High,82,High,Normal,0.68,9.7,Fine
8.8,0.64,0.17,2.9,0.084,Unknown,130,Very High,Normal,0.54,9.6,Decent
7.1,0.61,0.02,2.5,0.081,High,87,High,Normal,0.6,9.7,Fine
7.7,0.6,0,2.6,0.055,Low,13,Medium,Normal,0.56,10.8,Decent
10.1,0.27,0.54,2.3,0.065,Low,26,Low,Normal,0.53,12.5,Fine
10.8,0.89,0.3,2.6,0.132,Low,60,Very High,Very Accidic,1.18,10.2,Decent
8.7,0.46,0.31,2.5,0.126,Unknown,64,High,Very Accidic,0.74,9.6,Decent
9.3,0.37,0.44,1.6,0.038,High,42,Low,Normal,0.81,10.8,Good
9.4,0.5,0.34,3.6,0.082,Low,14,Very High,Normal,0.52,10.7,Fine
9.4,0.5,0.34,3.6,0.082,Low,14,Very High,Normal,0.52,10.7,Fine
7.2,0.61,0.08,4,0.082,Unknown,108,Medium,Normal,0.51,9.4,Decent
8.6,0.55,0.09,3.3,0.068,Medium,17,High,Normal,0.44,10,Decent
5.1,0.585,0,1.7,0.044,Medium,86,Low,Very Basic,0.94,12.9,Good
7.7,0.56,0.08,2.5,0.114,Medium,46,High,Normal,0.66,9.6,Fine
8.4,0.52,0.22,2.7,0.084,Low,18,High,Normal,0.57,9.9,Fine
8.2,0.28,0.4,2.4,0.052,Low,10,Low,Normal,0.7,12.8,Good
8.4,0.25,0.39,2,0.041,Low,10,Low,Normal,0.71,12.5,Good
8.2,0.28,0.4,2.4,0.052,Low,10,Low,Normal,0.7,12.8,Good
7.4,0.53,0.12,1.9,0.165,Low,12,High,Normal,0.86,9.2,Decent
7.6,0.48,0.31,2.8,0.07,Low,15,High,Normal,0.55,10.3,Fine
7.3,0.49,0.1,2.6,0.068,Low,14,Medium,Normal,0.47,10.5,Decent
12.9,0.5,0.55,2.8,0.072,Low,24,Very High,Very Accidic,0.68,10.9,Fine
10.8,0.45,0.33,2.5,0.099,High,38,Very High,Normal,0.71,10.8,Decent
6.9,0.39,0.24,2.1,0.102,Low,7,Low,Normal,0.58,11.4,Fair
12.6,0.41,0.54,2.8,0.103,High,41,Very High,Normal,0.76,11.3,Fine
10.8,0.45,0.33,2.5,0.099,High,38,Very High,Normal,0.71,10.8,Decent
9.8,0.51,0.19,3.2,0.081,Medium,30,Very High,Normal,0.58,10.5,Fine
10.8,0.29,0.42,1.6,0.084,High,27,Low,Normal,0.73,11.9,Fine
7.1,0.715,0,2.35,0.071,High,47,Medium,Normal,0.45,9.4,Decent
9.1,0.66,0.15,3.2,0.097,Medium,59,Very High,Normal,0.54,9.6,Decent
7,0.685,0,1.9,0.099,Medium,22,Medium,Normal,0.6,9.7,Decent
4.9,0.42,0,2.1,0.048,High,42,Low,Unknown,0.74,14,Good
6.7,0.54,0.13,2,0.076,High,36,High,Very Basic,0.64,9.8,Decent
6.7,0.54,0.13,2,0.076,High,36,High,Very Basic,0.64,9.8,Decent
7.1,0.48,0.28,2.8,0.068,Low,16,High,Normal,0.53,10.3,Decent
7.1,0.46,0.14,2.8,0.076,High,37,Medium,Normal,0.49,10.7,Decent
7.5,0.27,0.34,2.3,0.05,Low,8,Low,Normal,0.64,11,Good
7.1,0.46,0.14,2.8,0.076,High,37,Medium,Normal,0.49,10.7,Decent
7.8,0.57,0.09,2.3,0.065,Unknown,45,Low,Normal,0.74,12.7,Great
5.9,0.61,0.08,2.1,0.071,High,24,Low,Very Basic,0.77,11.1,Fine
7.5,0.685,0.07,2.5,0.058,Low,9,Medium,Normal,0.55,10.9,Fair
5.9,0.61,0.08,2.1,0.071,High,24,Low,Very Basic,0.77,11.1,Fine
10.4,0.44,0.42,1.5,0.145,Unknown,48,Very High,Normal,0.86,9.9,Fair
11.6,0.47,0.44,1.6,0.147,Unknown,51,Very High,Normal,0.86,9.9,Fair
8.8,0.685,0.26,1.6,0.088,High,23,High,Normal,0.47,9.4,Decent
7.6,0.665,0.1,1.5,0.066,Unknown,55,Medium,Normal,0.51,9.3,Decent
6.7,0.28,0.28,2.4,0.012,Unknown,100,Low,Normal,0.39,11.7,Good
6.7,0.28,0.28,2.4,0.012,Unknown,100,Low,Normal,0.39,11.7,Good
10.1,0.31,0.35,1.6,0.075,Medium,28,Medium,Normal,0.83,11.2,Good
6,0.5,0.04,2.2,0.092,Medium,26,Medium,Normal,0.47,10,Decent
11.1,0.42,0.47,2.65,0.085,Medium,34,High,Normal,0.77,12.1,Good
6.6,0.66,0,3,0.115,High,31,Medium,Normal,0.63,10.3,Decent
10.6,0.5,0.45,2.6,0.119,Unknown,68,High,Normal,0.72,10.9,Fine
7.1,0.685,0.35,2,0.088,Medium,92,Medium,Normal,0.62,9.4,Decent
9.9,0.25,0.46,1.7,0.062,Unknown,42,Medium,Normal,0.83,10.6,Fine
6.4,0.64,0.21,1.8,0.081,Medium,31,High,Very Basic,0.66,9.8,Decent
6.4,0.64,0.21,1.8,0.081,Medium,31,High,Very Basic,0.66,9.8,Decent
7.4,0.68,0.16,1.8,0.078,Medium,39,High,Very Basic,0.7,9.9,Fine
6.4,0.64,0.21,1.8,0.081,Medium,31,High,Very Basic,0.66,9.8,Decent
6.4,0.63,0.21,1.6,0.08,Medium,32,High,Very Basic,0.66,9.8,Decent
9.3,0.43,0.44,1.9,0.085,Medium,22,High,Normal,0.55,9.5,Decent
9.3,0.43,0.44,1.9,0.085,Medium,22,High,Normal,0.55,9.5,Decent
8,0.42,0.32,2.5,0.08,Unknown,122,Very High,Normal,1.07,9.7,Decent
9.3,0.36,0.39,1.5,0.08,Unknown,55,Medium,Normal,0.73,10.9,Fine
9.3,0.36,0.39,1.5,0.08,Unknown,55,Medium,Normal,0.73,10.9,Fine
7.6,0.735,0.02,2.5,0.071,Medium,14,Low,Very Basic,0.71,11.7,Good
9.3,0.36,0.39,1.5,0.08,Unknown,55,Medium,Normal,0.73,10.9,Fine
8.2,0.26,0.34,2.5,0.073,High,47,Medium,Normal,0.78,11.3,Good
11.7,0.28,0.47,1.7,0.054,High,32,High,Normal,0.67,10.6,Good
6.8,0.56,0.22,1.8,0.074,High,24,Low,Normal,0.82,11.2,Fine
7.2,0.62,0.06,2.7,0.077,High,85,High,Very Basic,0.54,9.5,Decent
5.8,1.01,0.66,2,0.039,High,88,Low,Unknown,0.6,11.5,Fine
7.5,0.42,0.32,2.7,0.067,Low,25,Medium,Normal,0.44,10.4,Decent
7.2,0.62,0.06,2.5,0.078,High,84,High,Very Basic,0.53,9.7,Decent
7.2,0.62,0.06,2.7,0.077,High,85,High,Very Basic,0.54,9.5,Decent
7.2,0.635,0.07,2.6,0.077,High,86,High,Very Basic,0.54,9.7,Decent
6.8,0.49,0.22,2.3,0.071,Medium,24,Low,Normal,0.83,11.3,Fine
6.9,0.51,0.23,2,0.072,Medium,22,Low,Normal,0.84,11.2,Fine
6.8,0.56,0.22,1.8,0.074,High,24,Low,Normal,0.82,11.2,Fine
7.6,0.63,0.03,2,0.08,Unknown,43,Medium,Normal,0.64,10.9,Fine
7.7,0.715,0.01,2.1,0.064,Unknown,43,Low,Normal,0.57,11.8,Fine
6.9,0.56,0.03,1.5,0.086,Unknown,46,Low,Very Basic,0.57,10.6,Decent
7.3,0.35,0.24,2,0.067,Unknown,48,Medium,Normal,0.54,10,Fair
9.1,0.21,0.37,1.6,0.067,Low,10,Low,Normal,0.58,11.1,Good
10.4,0.38,0.46,2.1,0.104,Low,10,Medium,Very Accidic,0.65,11.8,Good
8.8,0.31,0.4,2.8,0.109,Low,16,Medium,Normal,0.79,11.8,Good
7.1,0.47,0,2.2,0.067,Low,14,Low,Normal,0.58,10.9,Fair
7.7,0.715,0.01,2.1,0.064,Unknown,43,Low,Normal,0.57,11.8,Fine
8.8,0.61,0.19,4,0.094,Unknown,69,Very High,Normal,0.5,10,Fine
7.2,0.6,0.04,2.5,0.076,High,88,High,Very Basic,0.55,9.5,Decent
9.2,0.56,0.18,1.6,0.078,Medium,21,Medium,Normal,0.49,9.9,Decent
7.6,0.715,0,2.1,0.068,Unknown,35,Low,Normal,0.65,11.4,Fine
8.4,0.31,0.29,3.1,0.194,Medium,26,Low,Normal,0.78,12,Fine
7.2,0.6,0.04,2.5,0.076,High,88,High,Very Basic,0.55,9.5,Decent
8.8,0.61,0.19,4,0.094,Unknown,69,Very High,Normal,0.5,10,Fine
8.9,0.75,0.14,2.5,0.086,Medium,30,Very High,Normal,0.64,10.5,Decent
9,0.8,0.12,2.4,0.083,Medium,28,Very High,Normal,0.65,10.4,Fine
10.7,0.52,0.38,2.6,0.066,Unknown,56,Medium,Normal,0.79,12.1,Good
6.8,0.57,0,2.5,0.072,Unknown,64,Low,Normal,0.56,11.2,Fine
10.7,0.9,0.34,6.6,0.112,Unknown,99,Very High,Normal,0.68,9.3,Decent
7.2,0.34,0.24,2,0.071,Unknown,52,Medium,Normal,0.58,10.1,Decent
7.2,0.66,0.03,2.3,0.078,High,86,High,Very Basic,0.57,9.7,Decent
10.1,0.45,0.23,1.9,0.082,Medium,18,High,Normal,0.65,9.3,Fine
7.2,0.66,0.03,2.3,0.078,High,86,High,Very Basic,0.57,9.7,Decent
7.2,0.63,0.03,2.2,0.08,High,88,High,Very Basic,0.58,9.8,Fine
7.1,0.59,0.01,2.3,0.08,Unknown,43,Low,Normal,0.58,10.7,Fine
8.3,0.31,0.39,2.4,0.078,High,43,Low,Normal,0.77,12.5,Good
7.1,0.59,0.01,2.3,0.08,Unknown,43,Low,Normal,0.58,10.7,Fine
8.3,0.31,0.39,2.4,0.078,High,43,Low,Normal,0.77,12.5,Good
8.3,1.02,0.02,3.4,0.084,Low,11,Very High,Normal,0.49,11,Fair
8.9,0.31,0.36,2.6,0.056,Medium,39,Medium,Normal,0.69,11.8,Decent
7.4,0.635,0.1,2.4,0.08,High,33,High,Very Basic,0.69,10.8,Good
7.4,0.635,0.1,2.4,0.08,High,33,High,Very Basic,0.69,10.8,Good
6.8,0.59,0.06,6,0.06,Medium,18,Medium,Normal,0.59,10.8,Good
6.8,0.59,0.06,6,0.06,Medium,18,Medium,Normal,0.59,10.8,Good
9.2,0.58,0.2,3,0.081,High,115,Very High,Normal,0.59,9.5,Decent
7.2,0.54,0.27,2.6,0.084,Medium,78,Medium,Normal,0.71,11,Decent
6.1,0.56,0,2.2,0.079,Low,9,Low,Very Basic,0.54,11.5,Fine
7.4,0.52,0.13,2.4,0.078,Unknown,61,Low,Normal,0.59,10.8,Fine
7.3,0.305,0.39,1.2,0.059,Low,11,Low,Normal,0.52,11.5,Fine
9.3,0.38,0.48,3.8,0.132,Low,11,Medium,Normal,0.57,13.2,Fine
9.1,0.28,0.46,9,0.114,Low,9,Very High,Normal,0.6,10.9,Fine
10,0.46,0.44,2.9,0.065,Low,8,Medium,Normal,0.62,12.2,Fine
9.4,0.395,0.46,4.6,0.094,Low,10,Medium,Normal,0.64,12.2,Good
7.3,0.305,0.39,1.2,0.059,Low,11,Low,Normal,0.52,11.5,Fine
8.6,0.315,0.4,2.2,0.079,Low,6,Low,Normal,0.67,11.9,Fine
5.3,0.715,0.19,1.5,0.161,Low,62,Low,Very Basic,0.61,11,Decent
6.8,0.41,0.31,8.8,0.084,Unknown,45,Very High,Normal,0.64,10.1,Fine
8.4,0.36,0.32,2.2,0.081,Unknown,79,Medium,Normal,0.72,11,Fine
8.4,0.62,0.12,1.8,0.072,Unknown,46,Low,Normal,0.89,11.8,Fine
9.6,0.41,0.37,2.3,0.091,Medium,23,Very High,Normal,0.56,10.5,Decent
8.4,0.36,0.32,2.2,0.081,Unknown,79,Medium,Normal,0.72,11,Fine
8.4,0.62,0.12,1.8,0.072,Unknown,46,Low,Normal,0.89,11.8,Fine
6.8,0.41,0.31,8.8,0.084,Unknown,45,Very High,Normal,0.64,10.1,Fine
8.6,0.47,0.27,2.3,0.055,Medium,28,Low,Normal,0.8,11.2,Decent
8.6,0.22,0.36,1.9,0.064,Unknown,77,Medium,Normal,0.87,11,Good
9.4,0.24,0.33,2.3,0.061,Unknown,73,Very High,Normal,0.9,10.2,Fine
8.4,0.67,0.19,2.2,0.093,Medium,75,High,Normal,0.59,9.2,Fair
8.6,0.47,0.27,2.3,0.055,Medium,28,Low,Normal,0.8,11.2,Decent
8.7,0.33,0.38,3.3,0.063,Medium,19,Low,Normal,0.73,12,Good
6.6,0.61,0.01,1.9,0.08,Medium,25,High,Unknown,0.73,10.5,Decent
7.4,0.61,0.01,2,0.074,Medium,38,High,Normal,0.65,9.8,Decent
7.6,0.4,0.29,1.9,0.078,Unknown,66,High,Normal,0.59,9.5,Fine
7.4,0.61,0.01,2,0.074,Medium,38,High,Normal,0.65,9.8,Decent
6.6,0.61,0.01,1.9,0.08,Medium,25,High,Unknown,0.73,10.5,Decent
8.8,0.3,0.38,2.3,0.06,High,72,Low,Normal,0.72,11.8,Fine
8.8,0.3,0.38,2.3,0.06,High,72,Low,Normal,0.72,11.8,Fine
12,0.63,0.5,1.4,0.071,Low,26,Very High,Very Accidic,0.6,10.4,Fair
